EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
107456,1671027,REGULAR,TRIPLE TREAT #2,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/29/22 0:00,100,,TRIPLE TREAT #2,,6596
106513,1691362,REGULAR,GALAN'S MEAT MARKET & DELI,,2801 W MARKET ST,,LOUISVILLE,KY,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/3/22 0:00,98,A,GALAN'S MEAT MARKET & DELI,,6597
107378,1667647,FOLLOWUP,BJ'S CONCESSIONS (BROADUS) #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,100,,BJ'S CONCESSIONS (BROADUS) #1,,6599
107152,1681797,REGULAR,THORNTONS #57,,10320 WESTPORT RD,,LOUISVILLE,KY,40241,"RETAIL-FOOD  10,000 SQ FT OR LESS",6/23/22 0:00,98,A,THORNTONS #57,,6600
107457,1670808,REGULAR,TRIPLE TREAT #3,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/29/22 0:00,100,,TRIPLE TREAT #3,,6602
107460,1667636,REGULAR,2 DAUGHTERS CONCESSIONS - WILD BILLS #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,100,,2 DAUGHTERS CONCESSIONS - WILD BILLS #1,,6603
107479,1668745,REGULAR,COCO BONGOS #1,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,4/23/22 0:00,100,,COCO BONGOS #1,,6604
107479,1669675,REGULAR,COCO BONGOS #1,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,4/29/22 0:00,100,,COCO BONGOS #1,,6605
107497,1671484,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,99,,AUBREY'S CONCESSIONS,,6606
107498,1672943,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/7/22 0:00,100,,AUBREY'S CONCESSIONS,,6607
107498,1672990,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,100,,AUBREY'S CONCESSIONS,,6608
107499,1672962,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,100,,AUBREY'S CONCESSIONS,,6609
107499,1672964,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/7/22 0:00,100,,AUBREY'S CONCESSIONS,,6610
107500,1671217,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,99,,AUBREY'S CONCESSIONS,,6611
107500,1673693,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/7/22 0:00,100,,AUBREY'S CONCESSIONS,,6612
107501,1672988,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,98,,AUBREY'S CONCESSIONS,,6613
107501,1671459,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/7/22 0:00,99,,AUBREY'S CONCESSIONS,,6614
107503,1671486,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,99,,AUBREY'S CONCESSIONS,,6615
107503,1671494,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/7/22 0:00,98,,AUBREY'S CONCESSIONS,,6616
107503,1671496,FOLLOWUP,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/7/22 0:00,100,,AUBREY'S CONCESSIONS,,6617
107509,1672954,REGULAR,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,95,,AUBREY'S CONCESSIONS,,6618
107509,1672957,FOLLOWUP,AUBREY'S CONCESSIONS,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,5/6/22 0:00,98,,AUBREY'S CONCESSIONS,,6619
